Username,Useremail,Company,City,Province,Country,Passcode,Privilege
"Uys Kriek",Uyskriek@gmail.com,HELL,Regina,SK,Canada,123456,Analyst
"Jay Jay",Uyskriek@gmail.com,HELL,Regina,SK,Canada,654321,Approver
Christian,Uyskriek@gmail.com,BK,Regina,SK,Canada,321456,User
Samuel,Uyskriek@gmail.com,BK,Regina,SK,Canada,987654321,User
"Brock Lee",Uyskriek@gmail.com,BK,Regina,SK,Canada,987654321,Approver
"Brock Lee",Uyskriek@gmail.com,BK,Regina,SK,Canada,abc,Approver
"Dot Matricks",tester@gmail.com,abc,ef,fe,theth,abcde,Approver
bob,bbf,RBC,Saskatoon,Alberta,USA,asb,User
rgr,uyskriek@gmail.com1,rgr,rgr,rgr,rgrg,rgr,User
"Donald Trump",Trump@AMERICA.CA,America,America,America,America,Canada,User
Trudea,jt@jombajuice.ca,Canada,Canada,Canbada,Canada,1234,User
"Paulie A.",pA@gmail.com,SpiceMiner,Arakeen,Dune,Canada,1234,User
